week,더불어민주당,국민의힘,조국혁신당,개혁신당,진보당,무당층
8월 2주,39.9,36.7,5.7,4.4,0.9,9.3
8월 3주,45.8,35.5,3.2,3.4,1.5,7.9
8월 4주,46.7,36.1,2.5,3.7,1.2,8.4
9월 1주,44.6,36.2,2.7,4.5,1.3,8.6
9월 2주,44.3,36.4,2.6,4.4,1.5,8.7
9월 3주,44.2,38.6,1.9,4.1,1.5,7.5
9월 4주,43.3,38.3,3.0,3.4,0.8,9.1
10월 1주,47.2,35.9,3.3,2.8,1.0,7.7
10월 2주,,,,,,
10월 3주,46.5,36.7,3.1,3.0,1.4,7.4
10월 4주,44.1,37.3,3.3,3.5,1.5,8.5
10월 5주,45.4,37.9,1.8,2.8,1.3,8.8
11월 1주,46.5,34.8,2.5,4.2,0.8,9.5
11월 2주,46.7,34.2,3.2,3.1,1.0,9.1
11월 3주,47.5,34.8,2.9,3.8,1.1,8.0
11월 4주,45.6,37.4,3.1,3.5,1.4,7.3
12월 1주,44.2,37.0,2.6,3.8,1.4,8.6
12월 2주,45.8,34.6,3.4,3.4,1.3,10.1
12월 3주,44.1,37.2,3.6,3.0,1.6,8.7
12월 4주,44.5,35.7,3.1,3.8,1.7,9.0
1월 1주,45.7,35.5,3.0,3.7,1.4,9.3
1월 2주,47.8,33.5,2.6,4.3,1.6,8.5
1월 3주,42.5,37.0,2.5,3.3,1.7,11.5