week,real_good,real_bad,gal_day,gal_good,gal_bad
6월 2주,58.6 ,34.2 ,,,
6월 3주,59.3 ,33.5 ,,,
6월 4주,59.7 ,33.6 ,(24-26),64,21
7월 1주,62.1 ,31.4 ,(1-3),65,23
7월 2주,64.6 ,30.0 ,(8-10),63,23
7월 3주,62.2 ,32.3 ,,,
7월 4주,61.5 ,33.0 ,(15-17)(21-25),64,23
7월 5주,63.3 ,31.4 ,,,
8월 1주,56.5 ,38.2 ,,,
8월 2주,51.1 ,44.5 ,(4-8)(12-14),59,30
8월 3주,51.4 ,44.9 ,(19-21),56,35
8월 4주,53.6 ,42.3 ,(26-28),59,30
9월 1주,56.0 ,39.2 ,(2-4),63,28
9월 2주,54.5 ,41.1 ,(9-11),58,34
9월 3주,53.0 ,43.6 ,(16-18),60,31
9월 4주,52.0 ,44.1 ,(23-25),55,34
10월 1주,53.5 ,43.3 ,,,
10월 2주,,,,,
10월 3주,52.2 ,44.9 ,(14-16),54,35
10월 4주,51.2 ,44.9 ,(21-23),56,33
10월 5주,53.0 ,43.3 ,(28-30),57,33
11월 1주,56.7 ,38.7 ,(4-6),63,29
11월 2주,54.5 ,41.2 ,(11-13),59,32
11월 3주,55.9 ,40.5 ,(18-20),60,30
11월 4주,54.8 ,40.7 ,(25-27),60,31
12월 1주,54.9 ,42.1 ,(2-4),62,29
12월 2주,54.3 ,41.5 ,(9-11),56,34
12월 3주,53.4,42.2,(16-18),55,36
12월 4주,53.2,42.2,(23-25),,
1월 1주,54.1,41.4,(30-2),,
1월 2주,56.8,37.8,(6-8),60,33
1월 3주,53.1,42.2,(13-15),58,32